,Loss,Epsilon,Reward
0,0.09259194135665894,0.9811,-0.75
1,0.06192798167467117,0.9808,-0.75
2,0.13278920948505402,0.9808,-0.75
3,0.13134634494781494,0.9808,-0.75
4,0.06857243180274963,0.9808,-0.75
5,0.11652026325464249,0.9808,-0.75
6,0.10112009197473526,0.9808,-0.7538461538461538
7,0.09601767361164093,0.9805,-0.7538461538461538
8,0.043462663888931274,0.9805,-0.7538461538461538
9,0.07269896566867828,0.9805,-0.7538461538461538
10,0.1192946508526802,0.9805,-0.7538461538461538
11,0.11619837582111359,0.9805,-0.7538461538461538
12,0.0812249407172203,0.9805,-0.7575757575757576
13,0.12598448991775513,0.9802,-0.7575757575757576
14,0.061773739755153656,0.9802,-0.7575757575757576
15,0.09520076960325241,0.9802,-0.7575757575757576
16,0.030024591833353043,0.9802,-0.7575757575757576
17,0.07484819740056992,0.9802,-0.7575757575757576
18,0.06880660355091095,0.9802,-0.7611940298507462
19,0.06712104380130768,0.9799,-0.7611940298507462
20,0.06564495712518692,0.9799,-0.7611940298507462
21,0.05878223478794098,0.9799,-0.7611940298507462
22,0.10895483195781708,0.9799,-0.7611940298507462
23,0.013080885633826256,0.9799,-0.7611940298507462
24,0.026418182998895645,0.9799,-0.7611940298507462
25,0.09996034950017929,0.9799,-0.7647058823529411
26,0.09192026406526566,0.9796,-0.7647058823529411
27,0.09363170713186264,0.9796,-0.7647058823529411
28,0.04068966582417488,0.9796,-0.7647058823529411
29,0.013109597377479076,0.9796,-0.7647058823529411
30,0.02013235166668892,0.9796,-0.7647058823529411
31,0.09325709193944931,0.9796,-0.7681159420289855
32,0.08459597080945969,0.9793,-0.7681159420289855
33,0.038795024156570435,0.9793,-0.7681159420289855
34,0.03898182883858681,0.9793,-0.7681159420289855
35,0.07520551979541779,0.9793,-0.7681159420289855
36,0.07255370914936066,0.9793,-0.7681159420289855
37,0.09477879106998444,0.9793,-0.7681159420289855
38,0.029118448495864868,0.9793,-0.7714285714285715
39,0.03226757422089577,0.979,-0.7714285714285715
40,0.05407285317778587,0.979,-0.7714285714285715
41,0.038190778344869614,0.979,-0.7714285714285715
42,0.011497744359076023,0.979,-0.7714285714285715
43,0.06439904123544693,0.979,-0.7714285714285715
44,0.041957788169384,0.979,-0.7746478873239436
